Artist,Similar Artists
UMI,"UMI, V, Christian Kuria, Jenevieve, Mahalia, Rini, Raveena, Alina Baraz, Thuy"
Slick Rick,"EPMD, Big Daddy Kane, Boogie Down Productions, Nice & Smooth, Eric B. & Rakim, Biz Markie, Gang Starr, Whodini"
Five For Fighting,"Howie Day, Edwin McCain, Vertical Horizon, Lifehouse, Augustana, Rob Thomas, Matchbox Twenty, Matt Nathanson"
ODESZA,
Free Range,"Kassie Krut, Map.ache, Avalon Emerson, Blue Lake, Califone, Panda Bear, Circuit des Yeux, Bloomsday"
Dune Rats,"Skegss, Hockey Dad, Beddy Rays, The Terrys, Ruby Fields, Lime Cordiale, WaaX, San Cisco"
Sleaford Mods,"Billy Nomates, Viagra Boys, Idles, Yard Act, Bob Vylan, Dry Cleaning, Warmduscher, Bodega"
Kevin Abstract,"BROCKHAMPTON, Matt Champion, Jean Dawson, Paris Texas, Ameer Vann, Teezo TouchDown, DIJON, Ag Club"
ReoNa,
Raury,"EarthGang, Mick Jenkins, Vic Mensa, The Underachievers, Theophilus London, Ab-Soul, Donnie Trumpet & The Social Experiment, Flatbush ZOMBiES"
Klaus Johann Grobe,"Minami Deutsch, Beak>, W. H. Lung, Astrel K, Snapped Ankles, CV Vision, Ulrika Spacek, Kreidler"
Solo Sounds,"TJ Swann, Peewee Mel & Barry B, Brother D & The Collective Effort, Blond Piano, Universal Two, Shemar Moore, Nice & Nasty 3, Mr. Q, Sam Backing Tracks"
ITZY,
M83,"Sigur Rós, Cut Copy, Washed Out, The Naked and Famous, Explosions in the Sky, Hammock, The xx, School of Seven Bells"
Dosh,"Odd Nosdam, The Books, Dntel, Themselves, Mouse on Mars, Why?, Mice Parade, cLOUDDEAD"
Kara Jackson,"Joanna Sternberg, Julie Byrne, Jess Williamson, Joanna Newsom, Jessica Pratt, Laura Marling, Corinne Bailey Rae, Julia Jacklin"
J.E. Sunde,"H-burns, Buck Meek, The Saxophones, Michael Nau, This Is the Kit, Kevin Morby, Teleman, Jonathan Jeremiah"
No Thank You,"harmony woods, Katie Ellen, Thin Lips, blushh, Thunder Dreamer, Good Looking Friends, Spielbergs, Diva Sweetly"
Duval Timothy,"h hunt, Sam Gendel, Jonah Yano, Sam Gendel & Sam Wilkes, Sam Wilkes, Nala Sinephro, Tara Clerkin Trio, Joseph Shabason"
Lewis Capaldi,"Dean Lewis, James Arthur, Calum Scott, Dermot Kennedy, Lauren Spencer Smith, Ed Sheeran, Niall Horan, Banners"
GAYLE,
spill tab,
Greg Mendez,"MJ Lenderman, Superviolet, Allegra Krieger, Wednesday, Lomelda, waveform*, Greg Freeman, Alex G"
Maddie Medley,
Duran Duran,"Arcadia, The Power Station, Japan, Kajagoogoo, Spandau Ballet, The Human League, Thompson Twins, Tears for Fears"
Cash Savage and the Last Drinks,"RVG, Body type, Eddy Current Suppression Ring, Grace Cummings, Dick Diver, You Am I, Angie McMahon, Jen Cloher"
Maya Hawke,"Phoebe Bridgers, Lucy Dacus, Leith Ross, Julien Baker, Boygenius, Girl In Red, Samia, Towa Bird"
Meshell Ndegeocello,"José James, Bilal, Lizz Wright, Amel Larrieux, Rahsaan Patterson, Ledisi, Raphael Saadiq, Yazmin Lacey"
Plains,"S.G. Goodman, Lucinda Williams, Margo Cilker, Iris DeMent, Katie Pruitt, Sierra Ferrell, The Secret Sisters, Amanda Shires"
Sagan,"Jay Eskar, Madison Mars, MesTo, Dirty Palm, Pep & Rash, Siks, Dallerium, Toby Green"
Lex Allen,"Shea Diamond, Qhairo, Shaun Ross, Tish Hyman, AH-MER-AH-SU, Rhumba Club, Hayleau, Randa"
Paradise Lost Chillstep,"Rous, Michael St Laurent, Two Ways, D-WAYZZ"
Astral Bakers,"Poppy Fusée, Flavien Berger, Lescop, Clara Luciani, Françoiz Breut, JB Dunckel, Saint DX, Laura Cahen"
Declan McKenna,
The Wonder Years,"Spanish Love Songs, Real Friends, Fireworks, Knuckle Puck, Hot Mulligan, The Story So Far, The Menzingers, Four Year Strong"
JENNIE,"JiSoo, Rosé, Lisa, Meovv, Yeji, BLACKPINK, ROSÉ, Bruno Mars, Baby Monster"
Common,"The Roots, Black Star, Slum Village, Talib Kweli, Little Brother, Mos Def, Nas, Jay-Z"
Hurry,"ratboy, Another Michael, Strange Ranger, Mo Troper, Young Guv, Florry, Empty Country, Into It. Over It."
The Moldy Peaches,"Kimya Dawson, Antsy Pants, Jeffrey Lewis, Michael Cera, Barry Louis Polisar, WHATEVER, DAD, Radiator Hospital, Cyberbully Mom Club"
SG Lewis,"Roosevelt, Cosmo's Midnight, Darius, BAYNK, Snakehips, LASTLINGS, Poolside, Romy"
Anjimile,"Joanna Sternberg, Julie Byrne, Sun June, Maria BC, Modern Nature, The Clientele, Madeline Kenney, Black Belt Eagle Scout"
beabadoobee,"Clairo, The Marías, Shelly, Mitski, Unflirt, Wallows, grentperez, Phoebe Bridgers"
Bibio,"Clark, Tycho, Plaid, Four Tet, Boards of Canada, Emeralds, Lone, Mount Kimbie"
Dustbowl Revival,"Smooth Hound Smith, Front Country, The Last Revel, The Travelin' McCourys, Trout Steak Revival, The Dustbowl Revival, Sammy Brue, Cris Jacobs"
Melanie Martinez,"Jazmin Bean, Ashnikko, Marina, Lucy Loone, Lana Del Rey, Billie Eilish, Ellise, That Poppy"
The National Parks,"The Head and the Heart, The Gray Havens, The Arcadian Wild, Caamp, Cereus Bright, The Hunts, Old Sea Brigade, Mighty Oaks"
Beck,"The Flaming Lips, Ween, Cake, Soul Coughing, The White Stripes, Spoon, Eels, The Presidents of the United States of America"
Emile Mosseri,"Jon Brion, Jordan Seigel, Stephen Rennicks, Nicholas Britell, Carlos Rafael Rivera, Ludwig Göransson, Philippe Sarde, Piero Piccioni"
Julia Michaels,"Hailee Steinfeld, JP Saxe, Charlotte Lawrence, Daya, Anne-Marie, Astrid S, Lauv, olivia o'brien"
Madi Diaz,"Hurray For The Riff Raff, Jess Williamson, Waxahatchee, Torres, Katie Pruitt, The Secret Sisters, Ruston Kelly, Vera Sola"
The Academic,"Vistas, The Royston Club, Circa Waves, Sea Girls, The Snuts, Coin, Dayglow, The Night Café"
Valerie June,"Amythyst Kiah, Rhiannon Giddens, Allison Russell, Frazey Ford, Margo Price, The Secret Sisters, Gillian Welch, Amanda Shires"
Collapsing Stars,"Liz Brasher, Field Report, Jerry David DeCicca, Tall Tall Trees, The Bad Ends, Hollow Wood, Michigan Rattlers, Seth Avett & Jessica Lea Mayfield"
Olly Alexander,"alyona alyona & Jerry Heil, Sarah Bonnici, Kaleen, Silvester Belt, Electric Fields, Natalia Barbu, Windows95Man, 5MIINUST & Puuluup"
Ladybird,"C-Stones, Linda Leen, Jenny May, Tumsa, Lauris Reiniks, Double Faced Eels, A-Europa, Z-Scars"
STRFKR,"Generationals, Passion Pit, Broken Bells, MGMT, Neon Indian, Cut Copy, Washed Out, Phoenix"
Dawn Richard,"Danity Kane, Dumblonde, Brandy, Kelly Rowland, JoJo, K. Michelle, Kat DeLuna, Kelis"
Foo Fighters,"Taylor Hawkins & The Coattail Riders, Pearl Jam, Nirvana, Red Hot Chili Peppers, Them Crooked Vultures, Audioslave, Stone Temple Pilots, Bush"
Big Wild,"Griz, Kasbo, Louis The Child, BAYNK, Robotaki, Hermitude, Jai Wolf, NoMBe"
deer scout,"Katie Bejsiuk, Molly Sarlé, Taylor Vick, The Lost Days, Renée Reed, Frail Talk, String Machine, Brennan Wedl"
ITE EEROLA,"Elsi Sloan, Rebekka Holi, Teini-Pää, Amuri, Mummin Kullat, Hulda Huima, Rosita Luu, Muovikukat"
KAYTRAMINÉ,
Peace,"The Magic Gang, Sundara Karma, The Vaccines, Swim Deep, Spector, The Maccabees, Blaenavon, Bombay Bicycle Club"
Hayden,"Dan Mangan, Sam Roberts, Hawksley Workman, Joel Plaskett, Sloan, Gord Downie, Lou Barlow, Wintersleep"
PHOX,"Lucius, Andrew Bird, monica martin, The Staves, She & Him, The Dodos, Lucy Rose, M. Ward"
Icarus Phoenix,"Endlessly Sublime, Jacob Snider, Zaano, The Clearwater Swimmers, Drew Danburry, Seasonal Falls, Ella Raphael, Dakota Suite & Quentin Sirjacq"
Oh Wonder,"BROODS, Fickle Friends, Jaymes Young, MisterWives, Léon, MS MR, Hayley Kiyoko, Of Monsters and Men"
Cat Power,"PJ Harvey, Feist, Sharon Van Etten, Scout Niblett, Aldous Harding, Beth Orton, Smog, M. Ward"
Jim Ghedi,"Shovel Dance Collective, Sam Amidon, Joshua Burnside, Lisa O'Neill, Jake Xerxes Fussell, Stick In The Wheel, Circuit des Yeux, John Renbourn"
Video Age,"Totally Enormous Extinct Dinosaurs, glue70, Digitalism, Barry Can't Swim, RAC, Yuksek, Siriusmo, Teenage Bad Girl"
Winnetka Bowling League,"Coin, Smallpools, Sure Sure, Hippo Campus, Wild Party, arlie, Bad Suns, lovelytheband"
Shannon & The Clams,"Hunx and His Punx, Habibi, Dead Ghosts, The King Khan & BBQ Show, Jacuzzi Boys, Guantanamo Baywatch, Black Lips, The Detroit Cobras"
Jay Feelbender,"dba James, dani mack, Bread Pilot, Blue Mena, mathijs.iv, sleep well., Good Dog, MERCURY."
Hembree,"Foreign Air, Betcha, Tommy Newport, Bear Hands, Alex Winston, Joywave, courtship., Mating Ritual"
Angie McMahon,"Middle Kids, Maple Glider, Thelma Plum, Julia Jacklin, Gang of Youths, Fenne Lily, Missy Higgins, squirrel flower"
Slum Sociable,"Winston Surfshirt, Nick Hakim, daste., Husky, Carrtoons, Harrison Brome, Two Another, Elder Island"
The Flaming Lips,"Ween, Beck, Mercury Rev, Modest Mouse, Built to Spill, Dinosaur Jr., Grandaddy, Pavement"
Yung Bae,"マクロスMACROSS 82-99, Desired, Vantage, Night Tempo, AnTgry, Skule Toyama, Skylar Spence, Adrianwave"
Coolio,"2Pac, Naughty By Nature, Ice Cube, Warren G, Luniz, Snoop Dogg, Eazy-E, DMX"
49th & Main,"Barry Can't Swim, LaVern, ATrip, Matveï, nimino, Sunflwr, Delacour, Model Man"
Ray Charles,"Aretha Franklin, Louis Armstrong, Otis Redding, Sam Cooke, Nina Simone, Wilson Pickett, Etta James, Solomon Burke"
Fall Out Boy,"Patrick Stump, Cobra Starship, Panic! at the Disco, The Academy Is..., My Chemical Romance, Gerard Way, Frank Iero, Waterparks"
Corey Harper,"Blake Rose, Ron Pope, Dylan Dunlap, Wingtip, Jonah Kagen, Judah & the Lion, Joy Oladokun, Howie Day"
Richie Havens,"Arlo Guthrie, John Sebastian, Country Joe McDonald, Bob Dylan, Pete Seeger, Dave Van Ronk, Tom Rush, Van Morrison"
Santigold,"M.I.A., Yeah Yeah Yeahs, Sleigh Bells, Ladyhawke, Cansei de Ser Sexy, Phantogram, Metric, The Ting Tings"
Young Marble Giants,"The Raincoats, The Feelies, Television Personalities, Josef K, Pylon, Swell Maps, Au Pairs, Delta 5"
MISSIO,"Grandson, 8 Graves, The Unlikely Candidates, Bohnes, The People's Thieves, Arrested Youth, Foreign Air, Bryce Fox"
Lulu,"Sandie Shaw, Manfred Mann, Cilla Black, Petula Clark, Herman's Hermits, Shirley Bassey, Peter & Gordon, Mary Hopkin"
Maxo Kream,"That Mexican OT, Flatbush ZOMBiES, A$AP Ferg, Kenny Mason, Young Dolph, Young Nudy, ScHoolboy Q, IDK"
Snoh Aalegra,"Cleo Sol, Ari Lennox, H.E.R., Sinead Harnett, Sabrina Claudio, Sir, Sinéad Harnett, Lucky Daye"
San Fermin,"Mother Falcon, Kishi Bashi, Lucius, Stars, Air Traffic Controller, MisterWives, Owen Pallett, The Happy Fits"
Phosphorescent,"Damien Jurado, Kevin Morby, Iron & Wine, M. Ward, Okkervil River, Strand of Oaks, The Tallest Man on Earth, Bill Callahan"
Lucy Dacus,"Julien Baker, Boygenius, Phoebe Bridgers, Better Oblivion Community Center, Leith Ross, jasmine.4.t, Julia Jacklin, Samia"
Buffalo Springfield,"Stephen Stills, Neil Young, Crosby, Stills, Nash & Young, Crosby, Stills & Nash, The Byrds, Neil Young & Crazy Horse, Graham Nash, David Crosby"
Tianna Esperanza,"Ghost of Vroom, louis cato, URAL THOMAS and THE PAIN, akEnya, Me'Shell Ndegéocello, Nané, Corinne Bailey Rae, Dezron Douglas"
The Blaze,"French 79, Kid Francescoli, Thylacine, Parra for Cuva, Ben Böhmer, Christian Löffler, Harold van Lennep, Elderbrook"
Du Blonde,"she drew the gun, Ezra Furman, Kim Deal, Dream Wife, Our Girl, Personal Trainer, Prima Queen, Pip Blom"
Billy Nomates,"Sleaford Mods, Dry Cleaning, Bodega, Yard Act, goat girl, Warmduscher, The Murder Capital, Deadletter"
Elsa y Elmar,
Holly Kluge,"Marie Avril, Jonny Brenns, Alexia Chellun, Rob Riccardo, David Gramberg, Tay Oskee, Oh Gravity, birgir"
James Supercave,"Lian Ray, Lewis Del Mar, Attawalpa, Roller Derby, Champs, Fyfe, Wild Beasts, Everything Everything"
Clubhouse,"Landon Conrath, Mokita, Seb, glades, Fiji Blue, Fly By Midnight, Shallou, Lany"
The Donkeys,"Blitzen Trapper, Deer Tick, Hiss Golden Messenger, Shinyribs, Dawes, The Grays, The Rubinoos, The Nerves"
girlpuppy,"Kristiane, Keni Titus, lunar vacation, Samia, Sunday (1994), The Greeting Committee, Soccer Mommy, Bel"
Born Ruffians,"Tokyo Police Club, Said the Whale, Wolf Parade, Islands, Clap Your Hands Say Yeah, Ra Ra Riot, Arkells, Generationals"
Kanye West,"Kids See Ghosts, Jay-Z & Kanye West, ¥$, The Throne, Kendrick Lamar, Pusha T, Travi$ Scott, Ty Dolla $ign"
Gerry & The Pacemakers,"Billy J. Kramer & The Dakotas, The Searchers, The Dave Clark Five, Herman's Hermits, Manfred Mann, Peter & Gordon, Freddie & The Dreamers, Cliff Richard & The Shadows"
Coconut Records,"Generationals, The Shins, Ra Ra Riot, Someone Still Loves You Boris Yeltsin, Voxtrot, Rogue Wave, The Morning Benders, Fruit Bats"
Better Oblivion Community Center,"Boygenius, Phoebe Bridgers, Julien Baker, Conor Oberst, Lucy Dacus, Bright Eyes, Conor Oberst and the Mystic Valley Band, searows"
Nu Breed,"Nu Breed & Jesse Howard, Struggle Jennings, The Lacs, Colt Ford, SMO, Moonshine Bandits, Adam Calhoun, Demun Jones"
John C. Cale and Nico Nico,"Pat Travers & Carmine Appice, Biff Rose, 80's Live, Kyle Swartzwelder, Annie Keating, Gee Gee & Soluna, James Wilsey, Berdon Kirksaether"
Arts Fishing Club,"Will Hearn, the takes, Ben Goldsmith, The Bundys, Izzy Heltai, Frail Talk, The Weather Machine, Matthew Pinder"
Ellie Jackson,"Scam Likely, The Deer, Caley Conway, Bridget Kearney, Teddy And The Rough Riders, Diet Lite, The Pink Stones, dirtbike"
Bethany Cosentino,
Your Smith,"sjowgren, Caroline Rose, Lucius, Bay Ledges, Maggie Rogers, Fickle Friends, Holly Humberstone, G Flip"
Stiff Little Fingers,"The Undertones, Sham 69, The Ruts, The Rezillos, The Skids, Buzzcocks, UK Subs, The Vibrators"
Kevin Krauter,"Swimming Tapes, Jaguar Sun, Hibou, Far Caspian, Wishy, Barrie, Small Forward, A Beacon School"
Taylor Swift,"Olivia Rodrigo, Gracie Abrams, Sabrina Carpenter, Kelsea Ballerini, Chappell Roan, Maisie Peters, Lorde, Selena Gomez"
Wiz Khalifa,"Juicy J, Snoop Dogg & Wiz Khalifa, Curren$y, 2 Chainz, Wale, T.I., Kid Ink, Berner"
Cavetown,"Chloe Moriondo, Ricky Montgomery, Addison Grace, mxmtoon, Madilyn Mei, dodie, carpetgarden, Girl In Red"
ill peach,"evalyn, ian sweet, Oh, Be Clever, Noémie Wolfs, hannah jadagu, machineheart, Lucy Daydream, Rodes Rollins"
HASHA,"hurtado, ObabO, JiMMY Hits, sevnly, Lahey, Sunfish, Who Killed Candace, Nicole Canaan"
Foxx Bodies,"Kuromy, DUMP HIM, Ting Tang Tina, No Parents, Rodeo Boys, jOBBER, Personal Best, Wolf Girl"
Macie Stewart,"Naima Bock, Jana Horn, Ora Cogan, This Is the Kit, Hand Habits, Lia Ices, Alabaster Deplume, Helena Deland"
Yellow Ostrich,"The Dodos, The Morning Benders, Someone Still Loves You Boris Yeltsin, Saintseneca, Rubblebucket, Bowerbirds, Tapes 'n Tapes, Jr Jr"
Tipling Rock,"Last Dinosaurs, Dayglow, Sleepy Soul, Phoneboy, Concorde, Saint Motel, Two Door Cinema Club, Max Frost"
Mountain Man,"Daughter of Swords, Joan Shelley, River Whyless, The Wild Reeds, This Is the Kit, Alela Diane, Bedouine, Dark Dark Dark"
Alvvays,"Snail Mail, Beach House, Japanese Breakfast, Slow Pulp, Fazerdaze, Hatchie, Soccer Mommy, Jay Som"
Joongle,"DOSA, sad app, piple, Formal Chicken, tsambar, towser, Five Fi, timbert"
Offset,"Quavo, Migos, Metro Boomin, Travi$ Scott, 21 Savage, Don Toliver, Quavo & Takeoff, Gunna"
Quarters of Change,"Last Dinosaurs, Spacey Jane, Bad Suns, The Backseat Lovers, Inhaler, Flipturn, Catfish and The Bottlemen, Coin"
L Devine,"Luna Shadows, Carlie Hanson, Terror Jr, Dagny, Elio, The Aces, Kailee Morgue, UPSAHL"
The Red Pears,"Junkie, Israel's Arcade, Jurassic Shark, Benches, Archer Oh, Balkans, Makeout Reef, Jaded Juice Riders"
Ryan Montbleau,"Twin Bandit, Forest Sun, Andrew Duhon, Smooth Hound Smith, Kelly McFarling, The Sweet Remains, Jess Delgado, Aaron Krause"
Rosie Carney,"Siv Jakobsen, Aisha Badru, Fenne Lily, Anna Leone, William Fitzsimmons, Rosemary & Garlic, Luke Sital-Singh, Roo Panes"
We Are Scientists,"Maxïmo Park, The Futureheads, The Rakes, The Pigeon Detectives, The Sunshine Underground, The Cinematics, Hot Hot Heat, The Cribs"
Caroline Smith & The Good Night Sleeps,"Lucy Michelle and the Velvet Lapelles, Farewell Milwaukee, Roma Di Luna, Communist Daughter, Aunt Martha, We are the Willows, The Lower 48, Kopecky Family Band"
Cheekface,"Guppy, Illuminati Hotties, Jeff Rosenstock, Chris Farren, Antarctigo Vespucci, Yucky Duster, Geese, Parquet Courts"
THE GOA EXPRESS,
MICHELLE,"Helene Fischer, Andrea Berg, Beatrice Egli, Maite Kelly, Marianne Rosenberg, Anna-Maria Zimmermann, Matthias Reim, Howard Carpendale"
Bats,"Adebisi Shank, Alpha Male Tea Party, And So I Watch You From Afar, Q and Not U, Lite, Drive Like Jehu, The Blood Brothers, Les Savy Fav"
Lola Blanc,"Aviva, Stela Cole, Ellise, UPSAHL, Au/Ra, Kailee Morgue, KiNG MALA, Cloudy June"
Runaway Brother,"Osoosooso, Everyone Leaves, Tommy Boys, WATERMEDOWN, Secret stuff, The Island of Misfit Toys, Looming, State Lines"
Loupe,"Cloud Cafe, Queen's Pleasure, fiep, Future Husband, Opera Alaska, Teddy's Hit, TAPE TOY, Hiqpy"
Cub Sport,"Mallrat, Lime Cordiale, Holy Holy, Jack River, The Jungle Giants, Ball Park Music, Vera Blue, San Cisco"
Mustafa,"Charlotte Day Wilson, Sampha, James Blake & Lil Yachty, Jonah Yano, Moses Sumney, SERPENTWITHFEET, omar apollo, Ravyn Lenae"
Lorde Fredd33,"Signor Benedick the Moor, WebsterX, ZED KENZO, Jericho Jackson, Chris Orrick, Immortal Girlfriend, PINK NAVEL, Rago Foot"
Cathedral Bells,"Beach Vacation, .com, Cool Heat, Acid Ghost, Swiss Portrait, Hibou, Keep, Launder"
Ingrid Andress,"Maren Morris, Carly Pearce, Kelsea Ballerini, Maddie & Tae, Tenille Townes, Gabby Barrett, Lauren Alaina, Tenille Arts"
Yamê,"Josman, Disiz, Laylow, Alpha Wann, yvnnis, La Fève, Népal, Houdi"
Ora the Molecule,"Reave, Burning Peacocks, Saint Etienne, Σtella, Young Ejecta, MISUN, Le couleur, Polo & Pan"
