Artist,Album,Genres
Devon Church,Strange Strangers,"indie rock, folk, dub, shoegaze, dream pop, folk rock, indie folk, folk pop, united states, dream-pop"
Charlie Hickey,Time To Pretend,"indie, folk, indie pop, indie rock, american, indie folk, saddest factory records, dingocore"
Overcoats,Winner,"female vocalist, electronic, pop"
Oracle Sisters,Hydranism,"indie pop, dream pop, french"
The Hackles,What a beautiful thing i have made,"folk, country"
Cub Sport,Jesus At The Gay Bar,"australian, pop, indie pop"
Matthew Logan Vasquez,As All Get Out,"indie rock, americana, folk rock, rock, usa, punk rock, delta spirit"
Nico Paulo,Nico Paulo,"female vocalist, indie pop, folk, canadian, dream pop, portuguese, indie folk, singer-songwriter, baroque pop, folk pop"
Hayden,Are We Good,"singer-songwriter, canadian, folk"
Esther Rose,Spider,"folk, americana, alternative country, singer-songwriter, folk-pop, american, detroit, indie folk, michigan, nola"
Rae Sremmurd,Sremm 4 Life,"female vocalist, hip-hop, rap"
Tessa Violet,Bad Ideas,"female vocalist, indie pop, pop"
St. Paul & The Broken Bones,Angels In Science Fiction,"soul, blues, indie"
Blondshell,Blondshell,"indie rock, indie, rock, alternative, alternative rock, female vocalists, female vocalist, dream pop, indie pop"
Fatoumata Diawara,London Ko,"female vocalist, mali, african"
David Wax Museum,You Must Change Your Life,"folk, americana, indie, indie folk, mexo-americana, all, usa, american, alt-country, folk rock"
Charlotte Cornfield,Could Have Done Anything,"female vocalist, canadian, folk, indie folk, saw live"
Darlingside,Extralife,"folk, indie rock, indie folk, male vocalists, usa, american, boston, indie, vocal, rock"
Local Natives,Violet Street,"indie pop, indie rock, dream pop, synthpop"
half•alive,Conditions Of A Punk,"indie pop, indie, alternative, indie rock, american, pop, rock, united states, pop rock, california"
Moby,Resound NYC,"electronic, ambient, chillout"
Yot Club,amateur observer,"lo-fi, indie, dream pop, indie pop, bedroom pop, shoegaze, indie rock, pop, rock, alternative rock"
David Wax Museum,Knock Knock Get Up,"self-released, folk, americana, indie"
Josh Ritter,Spectral Lines,"singer-songwriter, folk, acoustic, indie, alt-country, americana, folk-rock, american, folk rock, male vocalists"
Ondara,Tales Of America (The Second Coming),"singer-songwriter, folk, kenya, kenyan, black folk"
Dan Croll,Fools,"indie pop, indie, electronic, pop, british, indie rock, singer-songwriter, england, dream pop, male vocalists"
Leon Bridges,Gold-Diggers Sound,"soul, rnb, neo soul, columbia"
Durand Jones,Wait Til I Get Over,"soul, neo-soul"
boygenius,the record,"indie rock, indie folk, rock, singer-songwriter, american, female vocalist, folk rock, alternative"
The National,First Two Pages of Frankenstein,"indie rock, albums, cd collection, indie, alternative, rock"
ADMT,Lost,uk
Superviolet,Infinite Spring,"indie rock, pop punk, usa"
Silver Moth,Black Bay,"post-rock, indie rock, uk, scotland, art rock, slowcore, indie folk, folk pop, alternative, piano"
Conway the Machine,WON'T HE DO IT,"rap, hip hop, hip-hop"
Caroline Rose,LONER,"folk, indie pop, female vocalists, pop rock, indietronica, alt-country"
Withered Hand,How to Love,"folk, singer-songwriter, indie, indie folk, scottish, acoustic, indie pop, scotland, all, sparkly"
Matt Maltese,Driving Just To Drive,"pop, singer-songwriter, indie pop, indie, british, uk, piano, rock, alternative, folk"
Wave Chapelle,Can't Stop Won't Stop,"trap, hip-hop, rap, hiphop"
IDK,F65,"rap, hip-hop, trap, rnb, hip hop, hardcore hip hop, hardcore, hardcore hip-hop, boom bap, rock"
Alex Lahey,The Answer Is Always Yes,"female vocalist, indie rock, australian"
Joni Mitchell,Música Clásica,"female vocalist, folk, singer-songwriter, canadian, acoustic, jazz, classic rock, folk rock, rock"
Masego,Masego,rnb
Jenny O.,Spectra,"female vocalist, indie, acoustic, singer-songwriter, indie pop, kgrl, alternative, new york, los angeles, asciiecho"
The Accidentals,Time Out,"female vocalist, folk, usa, indie, pop, classical, rock, alternative, indie pop, unsigned"
Shalom,Sublimation,"czech, hard rock, synthpop, pop, reggae, synth pop, indie, alternative, spanish hard rock"
The Dixie Cups,Chapel of Love (Sun Records 70th / Mono / Remastered 2022),"female vocalist, soul, pop, oldies, girl groups, new orleans, american, girl group, rnb"
Belle and Sebastian,Late Developers,"indie pop, indie rock, rock, twee, twee pop, uk"
Hack-Poets Guild,Blackletter Garland,"female vocalist, folk, vocal"
Sufjan Stevens,Sugar,"indie, folk, singer-songwriter, alternative, indie rock, indie pop, indie folk, rock, acoustic, american"
Meet Me @ The Altar,Past // Present // Future,"pop, punk, power pop, american, pop punk, emo-pop"
The Blaze,JUNGLE,"collection, house, electronic, deep house"
M83,Fantasy,"indietronica, dream pop, electronic, french, synthpop"
Mimi Webb,Amelia,"pop, dance-pop, electropop, female vocalists, pop rock, synthpop, female vocalist, british, dance"
NilexNile,Nostalgia EverClear,"hip hop, milwaukee"
Spaceport,Window Seat,"indie, indie pop, indie rock, female vocalists, chamber pop, dream pop"
Kalle Mattson,Avalanche,"indie folk, folk, indie, canada, indie rock, canadian, ottawa, emo, folk-rock, ontario"
Iris DeMent,Workin' On A World,"progressive country, female vocalist, country, folk"
Mom Rock,I Wish Every Day Was Today,"rock, alternative, alternative rock"
Adi Oasis,Lotus Glow,"pop, funk, rnb, neo-soul"
Dreamville,Creed III: The Soundtrack,"female vocalist, rap, hip-hop, hip hop, jazz rap, conscious hip hop, trap, pop rap, dreamville, american"
Emilíana Torrini,Racing The Storm,"chamber pop, female vocalist, icelandic, trip-hop"
Kate Davis,Fish Bowl,"female vocalist, indie rock, indie pop"
Stand and Wave,Shamble Into Frame,"emo, punk rock, pop punk"
Tyler,CALL ME IF YOU GET LOST: The Estate Sale,"female vocalist, rock, japanese, austrian, indie, pop, j-urban, austrian music, electronic, alternative"
Damien Jurado,The Horizon Just Laughed,"albums, folk, singer-songwriter, indie"
LIES,Lies,"indietronica, synthpop, art pop, rock, crust, alternative metal"
Pillow,Simple Pleasures,"post-rock, instrumental, ambient, post rock, electronic, electronica, experimental, belgian, indie rock, italy"
Roo Panes,The Summer Isles,"folk, singer-songwriter, acoustic, british, indie, indie folk, male vocalists, england, hairy chest, uk"
Michigander,It Will Never Be The Same,"indie pop, indie rock, indie, alternative, alternative rock, usa, pop rock, michigan, daytrotter, indie alternative"
Faintest Idea,The Road to Sedition,"ska punk, skacore, punk, ska, streetpunk, uk, ska-punk, punk rock, street punk"
Macklemore,BEN,"hip-hop, rap, pop rap"
Baaba Maal,Being,"african, senegal, world"
Transviolet,BODY,"female vocalist, pop, electropop"
Babe Corner,Crybaby,"indie rock, indie pop, canada, canadian, dream pop, synthpop"
The Nude Party,Rides On,"garage rock, rock, folk"
Samia,Honey,"singer-songwriter, pop, indie pop, ambient pop, indie, alternative, folk, indie rock, lo-fi"
Plain Speak,Calamity,"indie, rock, alternative, alternative rock, indie rock, male vocalists"
Hand Habits,Fun House + Blueprints,"folk, indie, indie folk, singer-songwriter, usa, dream pop, american, folk rock, queer"
Black Honey,A Fistful of Peaches,"rock, british, female vocalists"
Blondshell,Disappointment,"female vocalist, indie rock, dream pop, indie, indie pop, grunge, usa, alternative rock, folk, singer-songwriter"
Low Island,Life in Miniature (Extended Edition),"indie pop, electronic, british, pop, uk, synth pop, indietronica, vocal, bass, england"
The Lost Days,In the Store,"indie rock, folk, usa, lo-fi, folk rock, indie folk"
Whitney's Playland,Sunset Sea Breeze,"indie pop, shoegaze, dream pop"
Taylor Ashton,Pizza Tickets,"singer-songwriter, indie, folk, canadian, indie folk, folk pop"
Lichen Slow,Rest Lurks,"indie rock, rock, alternative rock, england, scotland"
Caroline Rose,The Art of Forgetting,"indie rock, indie folk, female vocalist, indie, folk"
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,"singer-songwriter, art pop, indie, pop, alternative, traditional pop, female vocalist, indie pop, trip-hop"
Field Guide,Field Guide (Tape Redux),"folk, indie rock, usa, folk rock, indie folk, folk pop"
Wilder Woods,FEVER / SKY,"jazz, soul, blues, southern rock, folk, rock, usa, blues rock, united states, south carolina"
Phoneboy,Moving Out,"indie, indie pop, indie rock, usa, good, new jersey"
The Milk Carton Kids,I Only See the Moon,"folk, indie, alt-country, singer-songwriter, indie folk, americana, american, california, country, alternative"
Sorcha Richardson,Shark Eyes,"female vocalist, dream pop, indie pop, folk, irish, indie folk, singer-songwriter, indie rock, acoustic, folk pop"
Marci,Marci,self-titled
Disq,Collector,"indie pop, indie rock, power pop"
Mattiel,Georgia Gothic,"female vocalist, indie rock, indie"
Julia Jacklin,PRE PLEASURE,"singer-songwriter, indie, indie rock, rock, female vocalists, female vocalist, folk, indie pop"
Art Moore,Art Moore,"dream pop, self-titled"
Didirri,Blue Mood Rising,"indie, folk, australian, alternative, australia, indie folk, male vocalists, sofar breda, sofar sounds"
cheerbleederz,nail biters,"female vocalist, indie rock, indie pop, pop rock, british, alternative, uk, england, female vocal, united kingdom"
S. Carey,Hundred Acres,"folk, singer-songwriter, indie"
Broken Bells,We're Not In Orbit Yet…,"indie, experimental, indie pop, alternative, indie rock, electronic, american, pop, rock, alternative rock"
Big Wild,Blue,"electronic, hip-hop, glitch-hop, instrumental hip-hop, hip hop, ambient, usa, american, glitch hop, abstract hip-hop"
Lauv,All 4 Nothing,"pop, indie pop, indie, american, jazz, male vocalists, hairy chest, piano, rnb, united states"
Under Violet,Threes,"folk, usa"
PHOX,PHOX,"female vocalist, folk, indie folk"
Kenny Beats,LOUIE,"hip-hop, instrumental hip-hop, chipmunk soul, american, instrumental hip hop, jazz rap, finished, lo-fi hip hop"
The Interrupters,In The Wild (Deluxe Edition),"female vocalist, ska punk, ska, punk, punk rock, american, rock, reggae, ska-punk"
The Dip,Paddle to the Stars,"soul, funk, rnb, seattle, indie pop, american, rhythm and blues, neo-soul, terry seen live"
Tobe Nwigwe,moMINTs,"rap, hip-hop, hip hop, texas, american, trap, nigerian, christian hip hop, southern hip-hop, houston rap"
Sorcha Richardson,Smiling Like An Idiot,"female vocalist, dream pop, indie pop"
Pete Yorn,Elizabeth Taylor,"female vocalist, singer-songwriter, rock, indie, alternative, indie rock, alternative rock, folk, acoustic, male vocalists"
Charlie Burg,Infinitely Tall,"soul, singer-songwriter, rnb, indie, usa"
Benny The Butcher,Tana Talk 3,"rap, gangsta rap, hardcore hip-hop, boom bap, east coast hip-hop"
Futurebirds,Trippin',"folk, country, psychedelic folk, rock, american, indie, psychedelic, georgia, indie rock, americana"
Kiwi jr.,Chopper,"indie, indie pop, indie rock, power pop, canadian, garage rock"
Pete Yorn,Hawaii,"indie, indie rock, dream pop, alternative, folk rock, hawaii"
Arcade Fire,"The Lightning I, II","female vocalist, indie rock, indie"
Opus Kink,"I Love You, Baby","crank wave, post-punk, art punk, indie rock, garage rock, jazz punk, british, punk rock, garage punk, united kingdom"
Bathtub Cig,Night Blindness,"indie, indie pop, singer-songwriter, usa, lo-fi, minneapolis, bedroom pop"
STS,Escape from Sweet Auburn,"austropop, austrian, deutsch, mundart, sts, austria, pop, rock, rap, hip-hop"
Rogue Valley,False Floors,"meghallgatni, indie, folk, indie rock"
2nd Grade,Easy Listening,"indie rock, power pop, indie pop"
Spoon,The Hardest Cut,"indie, indie rock, alternative, rock, indie pop, alternative rock, american, austin, spoon, pop"
Jeffrey Lewis,Nonsense,"anti-folk, singer-songwriter, lo-fi, indie, antifolk, folk, acoustic, folk punk, alternative, new york"
cheerbleederz,even in jest,"female vocalist, indie rock, indie pop"
Oliver Sim,Hideous Bastard,"indietronica, indie, pop, alternative, indie rock, uk, alternative pop, alt-pop, art pop"
Loudon Wainwright III,Lifetime Achievement,"folk, singer-songwriter, acoustic, american, folk rock, comedy, rock, country, north carolina, usa"
Pool Kids,Pool Kids,"math rock, emo, indie pop, midwest emo, self-titled, break up album"
Chris Koza,In Real Time,"minnesota, singer-songwriter, indie, minneapolis, local, folk, acoustic, twin cities, indie rock, americana"
Dehd,Blue Skies,"indie rock, indie, alternative, indie pop, lo-fi, post-punk, jangle pop, dream pop, american"
Adwaith,Sudd,"rock, folk, indie rock, art rock, welsh, wales, alternative, uk, jangle pop, shoegaze"
Courtney Hartman,Moontalk,"folk, usa, americana"
Fireboy DML,Playboy,"afrobeats, nigeria, rap, nigerian, hip-hop, hip hop, african, africa, afrobeat, aquarius"
Andrew Duhon,Plans,"folk, singer-songwriter"
The Beths,Expert In A Dying Field,"power pop, indie, indie pop, indie rock, female vocalists, new zealand, break up album"
Yellow Ostrich,Strange Land,"indie, indie pop, quirky, relaxed, whimsical, clinical, folk, american, acoustic"
Lupe Fiasco,AUTOBOTO,"hip-hop, rap, hip hop, underground hip-hop, chicago, lupe fiasco, american, chi-town, alternative rap, hiphop"
Benny The Butcher,The Plugs I Met 2,"gangsta rap, hip-hop, rap, east coast hip-hop"
Calvin Harris,Potion (with Dua Lipa & Young Thug),"calvin harris, dua lipa, electronic, dance, electro"
Fontaines D.C.,Skinty Fia,"crank wave, post-punk, grunge, indie rock, gothic rock, irish, indie, punk, art punk"
GGOOLLDD,Undercovers,"female vocalist, indie, indie pop, electronic, pop, milwaukee, electronica, indie rock, dance, retro"
Hand Habits,Fun House,
Hot Chip,Freakout/Release,"electronic, indie, electropop"
LOLO,Lauren,"female vocalist, trance, progressive trance, electronic, uplifting trance, melodic trance, dance, vocal trance, pop, soul"
MIYAVI,Snakes (from the series Arcane League of Legends),"j-rock, visual kei, japanese, jrock, miyavi, rock, japanese rock, j-pop, japanese music, male vocalists"
Sudan Archives,Selfish Soul,"female vocalist, rnb, soul, experimental, violin, usa, ohio, electronic, stones throw, hip-hop"
Adam Melchor,Turnham Green,"folk, indie pop, singer-songwriter, american, indie folk, male vocalists, new jersey, new jersey indie, my top songs"
Royel Otis,Oysters In My Pocket,"indie pop, indie rock, lo-fi, dream pop, indie, australian, jangle pop, pop, rock, surf"
Dosh,The Lost Take,"electronic, indietronica, folktronica, nu jazz, indie, instrumental, indie electronic, post-rock, anticon"
Wormy,Hungry Ghost (feat. Samia),"american, samia"
Julia Jacklin,"Love, Try Not To Let Go","female vocalist, singer-songwriter, folk, indie folk, indie, australian, indie rock, indie pop, australia, alternative"
girlhouse,concussion,"female vocalist, shoegaze, indie rock, indie pop, dream pop, electronic, folk, singer-songwriter, american"
Sampa the Great,Birds And The BEE9,"female vocalist, hip-hop, rap"
Julia Jacklin,I Was Neon,"female vocalist, singer-songwriter, folk, indie folk, indie, australian, indie rock, indie pop, australia, alternative"
Hot Chip,Down,"electronic, indie, electropop, electronica, electro, british, indietronica, pop, dance, indie rock"
Domestic Terminal,All The Stories Left To Tell,"emo, shoegaze, alternative, indie rock, midwest emo"
Mariah Carey,Music Box,"pop, soul, rnb, r&b, mellow, hip-hop, dance, female"
Cheekface,Too Much to Ask,"dance punk, indie rock, power pop, post punk, geek, geek rock, nerd, post-punk, indie, rock"
Tallies,Special,"female vocalist, dream pop, indie, jangle pop, pop, shoegaze, jangle, folk, indie pop, indie rock"
Darius,FEELS RIGHT,"pop, electronic, psychedelic, british, male vocalists, male, psychedelic rock, house, ambient, renard"
Wormy,I'm Sweating All the Time,
Gordi,Way I Go,"female vocalist, indie pop, heavy metal, indie, australian, pop, singer-songwriter, australia, hard rock, serbian"
Danger Mouse,No Gold Teeth,"hip-hop, mashup, electronic, hip hop, rap, indie, alternative hip hop, american, remix, alternative"
Gordi,Grass Is Blue,"female vocalist, indie pop, heavy metal, indie, australian, pop, singer-songwriter, australia, hard rock, serbian"
Danger Mouse,Aquamarine (feat. Michael Kiwanuka),"hip-hop, mashup, electronic, hip hop, rap, indie, alternative hip hop, american, remix, alternative"
Adwaith,Bato Mato,"rock, folk, indie rock"
Florist,Florist,"indie folk, folk, ambient, indie, singer-songwriter, calm, indie pop, usa, pop"
Esmé Patterson,Light In Your Window,"female vocalist, folk, country, folk rock, indie, indie folk, denver, jazz, pop, usa"
Samia,Maps / Country,"female vocalist, indie pop, singer-songwriter, lo-fi, indie, indie rock, new york, usa, american"
Eliades Ochoa,Guajiro,"cuban, latin, world, jazz, cuba, latin jazz, guitar, salsa, son"
Generationals,Con Law,"indie, rock, soul, indie rock, american, funky, albums i want"
Offset,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"trap, hip-hop, rap, hip hop, ambient, techno, acid, hardcore techno, not ska, not rap"
Noel Gallagher's High Flying Birds,Council Skies,"rock, indie rock, chamber pop, britpop, baroque pop, neo psychedelia, post punk revival, post britpop"
Generationals,Heatherhead,"indie, indie pop, indie rock, jangle pop, new orleans, pop, american, rock, alternative, electronic"
JID,The Forever Story (Extended Version),"hip-hop, rap, usa, neo-soul, trap, conscious hip hop, southern hip-hop, southern hip hop"
Samia,The Baby,"singer-songwriter, queen, american, debut, samia, indie music masterclass"
Samia,Scout,"singer-songwriter, cover, american, samia"
Brotherkenzie,Utah,"indie, folk, minnesota, singer-songwriter, usa, lo-fi, lofi"
Brotherkenzie,BLOODSUCKER,"indie, folk, minnesota, singer-songwriter, usa, lo-fi, lofi"
The Aquadolls,Charmed,"female vocalist, lo-fi, indie pop, garage pop, indie, surf rock, surf, punk, alternative, experimental"
Isaiah Rashad,The Sun's Tirade,"hip-hop, rap, cloud rap, jazz rap, conscious hip hop, contemporary rnb, hip hop, underground hip-hop, underground rap"
Rufus Wainwright,Folkocracy,"singer-songwriter, indie, folk"
NilexNile,Nostalgia Everclear,"hip hop, milwaukee"
Cathedral Bells,Everything at Once,"shoegaze, dream pop, indie pop, post-punk, united states, ethereal wave, british isles, vargs secret playlist"
Surf Mesa,ily (i love you baby) (feat. Emilee),chill house
Remnose,Both Our Blood,"albums, indie folk"
Maple Glider,Don't Kiss Me,"female vocalist, singer-songwriter, folk, indie folk, indie, vocal, australian, australia, melbourne, folk pop"
Tiny Ruins,Ceremony,"female vocalist, singer-songwriter, new zealand, indie folk, folk, indie, pop, alternative, indie pop, vocal"
Lil Durk,Almost Healed,"rap, hip-hop, drill"
Joey Bada$$,ALL-AMERIKKKAN BADA$$,"political, hip-hop, rap, east coast hip-hop, political hip-hop, joey badass, underground hip-hop, hip hop, new york"
Kassi Valazza,Kassi Valazza Knows Nothing,"country, albums, usa, folk, progressive country"
Jim Ghedi,Jim Ghedi & Toby Hay,"folk, americana, american primitivism, vocal, british, experimental, singer-songwriter, guitar, england, indie folk"
Panic Pocket,Mad Half Hour,
Khalid,American Teen,"rnb, soul, khalid, hip-hop, alternative, neo-soul, alternative rnb, chill, usa"
Greg Mendez,Greg Mendez,"medieval album covers, indie, indie rock, usa"
Jacob Slade,Jupiter,"acoustic, indie pop, singer-songwriter, usa, diy, midwest, milwaukee, wisconsin, wi"
Josie Dunne,TENNIS,"pop, soul, folk, indie pop, singer-songwriter, american"
Mariel Buckley,Everywhere I Used to Be,"folk, singer-songwriter, canada, americana, america, alt-country"
070 Shake,You Can’t Kill Me,"psychedelic, alternative rnb, electropop, pop, experimental, synth pop, female vocalist, rnb, hip hop"
MARO,can you see me?,"indie, singer-songwriter, indiepop, female vocalist, pop, portuguese"
The Medium,For Horses,"rap, hip-hop, polish, drum and bass, hardstep, hip hop, darkside, underground, kielce, underground hip-hop"
Missy Elliott,Supa Dupa Fly,"rap, rnb, hip-hop, hip hop, female vocalists, female vocalist, pop, dance"
2nd Grade,Teenage Overpopulation,"indie rock, power pop, indie pop, indie, twee, usa, catchy, lo-fi, quirky, dream pop"
Dune Rats,Real Rare Whale,"surf rock, indie rock, dream pop"
Calvin Harris,"New To You (with Normani, Tinashe, & Offset)","normani ate, electronic, dance, electro"
The Front Bottoms,More Than It Hurts You,"acoustic, folk, indie, indie rock, pop-punk, emo, folk punk, pop punk, rock, folk rock"
Maya Hawke,Luna Moth,"female vocalist, folk, indie, singer-songwriter, indie pop, alternative, pop, indie folk, usa, folk pop"
Flatbush Zombies,Vacation In Hell,"rap, conscious hip-hop, trap, hardcore hip-hop, east coast hip-hop, hip-hop, underground hip-hop, hip hop"
Mac Miller,Swimming,"hip hop, rap, pop rap, alternative rnb, mac miller, underground hip-hop, pittsburgh, underground rap"
THICK,Happy Now,"new york, american, female vocalist, indie rock, punk rock"
Thee Sacred Souls,Thee Sacred Souls,"soul, rnb"
Oliver Sim,Hideous,"indie pop, indie, electronic, british, indie rock, the xx, alternative, indie electronic, uk, dream pop"
Miya Folick,ROACH,"relatable, indie music masterclass, female vocalist, singer-songwriter, indie"
Telethon,Selfstarter A.E.,"indie rock, quirky, electronic, indie, rock, punk, experimental, power pop, noise pop, pop punk"
Dream Wife,Social Lubrication,rock
Charlotte Cardin,99 Nights,"indie, pop, indie pop, canadian"
Janelle Monáe,The Age of Pleasure,"rnb, pop, reggae, funk, afrobeat, alternative, funky, neo-soul"
Christine and the Queens,"PARANOÏA, ANGELS, TRUE LOVE","art pop, experimental pop, art rock, synthpop, alternative rnb, trip-hop, female vocalist, french, indie"
Spillage Village,M.O.M (feat. J.I.D & Quentin Miller),"rap, hip-hop, hip hop, conscious hip hop, soul, rnb, jazz rap, american, atlanta, alternative"
Sampa the Great,Bona,"female vocalist, hip-hop, rap, hip hop, australian, zambia, soul, experimental, ninja tune, africa"
Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),"albums, britpop, rock, british"
Editors,An End Has a Start,"indie rock, favourite albums, indie, rock, british, alternative"
Ari Lennox,age/sex/location,"smooth soul, rnb, neo-soul, contemporary rnb, brunicore"
Stromae,L’enfer,"electronic, dance, belgian, french, electronica, pop, house, hip-hop, belgium, male vocalists"
Opus Kink,'Til The Stream Runs Dry,"crank wave, art punk, post-punk, rock, punk, indie rock, jazz-rock, windmill scene, post-brexit new wave"
Big Wild,Feel Good,"electronic, hip-hop, glitch-hop, instrumental hip-hop, hip hop, ambient, usa, american, glitch hop, abstract hip-hop"
Bathtub Cig,therapy,"indie, indie pop, singer-songwriter, usa, lo-fi, minneapolis, bedroom pop"
Ron Sexsmith,The Vivian Line,"female vocalist, singer-songwriter, canadian"
Swim Camp,Steel Country,"indie pop, indie rock, usa, lo-fi"
No-No Boy,1975,"folk, american, vocal, singer-songwriter, usa, guitar, zither, banjo, lute, koto"
Arlo Parks,Collapsed In Sunbeams,"bedroom pop, soul, pop, soft rock, beautiful, melodic, female vocalist, rnb, neo-soul"
Tobe Nwigwe,FOURIGINALS,"rap, hip-hop, hip hop, texas, american, trap, nigerian, christian hip hop, southern hip-hop, houston rap"
Girl Friday,Fashion Conman,"female vocalist, indie, grunge, alternative, rock, indie pop, indie rock, usa, post-punk, garage rock"
The Beths,Jump Rope Gazers,"female vocalist, indie rock, new zealand"
Hinds,I Don't Run,"pop, rock, lo-fi, garage rock"
Mountain Man,Look at Me Don't Look at Me,"folk, indie folk"
thanks for coming,the last time before the next time,"bedroom pop, indie, indie pop, indie rock, lo-fi, rare sads, usa, female vocal, all, bedroom"
GROUPLOVE,Never Trust a Happy Song,"indie, indie rock, rock, alternative, alternative rock, indie pop, pop, favorite albums"
Oh,While My Father Sleeps,"metal, thai, bulgarian, seen perform live, troycore, aotycore"
Yowler,The Offer,"female vocalist, folk, ambient, slowcore, acoustic, columbus, rare sads, indie, alternative rock, indie rock"
MAITA,Best Wishes,"female vocalist, indie pop, indie rock, indie, rock, folk, usa, folk rock, indie folk, folk pop"
The Silent Years,Let Go,"indie, michigan, detroit, alternative, daytrotter, indie pop, indie rock, folk, asciiecho, alternative rock"
The Accidentals,Parking Lot,"female vocalist, folk, usa, indie, pop, classical, rock, alternative, indie pop, unsigned"
illuminati hotties,Kiss Yr Frenemies,"bobcore, bubblegrunge, female vocalist, indie rock, power pop"
Menahan Street Band,Make the Road By Walking,"funk, soul, instrumental, rnb, wish list, jazz, jazz fusion, afrobeat"
Ego Ella May,Honey For Wounds,"london, soul, electronic, rnb"
Henry Jamison,The Wilds,"folk, indie, indie pop, usa, american, folk rock, indie folk, male vocalists, folk pop, singer-songwriters"
Dream Wife,So When You Gonna...,"female vocalist, rock, dream pop"
Geographer,Alone Time,"indie pop, male vocalists, elecronic, hunk, hairy chest, hunks, indietroncia, electronic, indie, indietronica"
Kelsey Lu,Blood,"art pop, indie, pop, alternative, experimental, neo-soul, album"
Tobe Nwigwe,THE PANDEMIC PROJECT,"rap, hip-hop, hip hop, texas, american, trap, nigerian, christian hip hop, southern hip-hop, houston rap"
Julien Baker,Sprained Ankle,"emo, folk, slowcore, singer-songwriter, indie folk, indie, acoustic, dream pop"
Jamila Woods,HEAVN,"soul, rnb, hip-hop, alternative, female vocalists, neo soul, neo-soul, art pop, alternative rnb"
The Silent Years,Spider Season (10th Anniversary Edition),"indie, michigan, detroit, alternative, daytrotter, indie pop, indie rock, folk, asciiecho, alternative rock"
Buddy,Harlan & Alondra,"hip-hop, rap, german"
Kings of Convenience,Riot On An Empty Street,"indie, acoustic, norwegian, melancholy, indie pop, favourite albums, mellow, indie rock"
